Name,Author,Description,Website,Repository,Repo Options,Protocol
mruby-alarm,k0u5uk3,Alarm Module,https://github.com/k0u5uk3/mruby-alarm,https://github.com/k0u5uk3/mruby-alarm.git,"",git
mruby-allegro,cremno,mruby binding to Allegro 5,https://github.com/cremno/mruby-allegro,https://github.com/cremno/mruby-allegro.git,"",git
mruby-allocate,ppibburr,Class allocate,https://github.com/ppibburr/mruby-allocate,https://github.com/ppibburr/mruby-allocate.git,"",git
mruby-ansi-colors,Mav7,Extends String class to use ANSI color escape codes.,https://github.com/Mav7/mruby-ansi-colors,https://github.com/Mav7/mruby-ansi-colors.git,"",git
mruby-apr,Jared Breeden,Cross platform standard library components à la MRI,https://github.com/jbreeden/mruby-apr,https://github.com/jbreeden/mruby-apr.git,"",git
mruby-arduino,kyab,Arduino binding,https://github.com/kyab/mruby-arduino,https://github.com/kyab/mruby-arduino.git,"",git
mruby-argtable,"[""Uchio Kondo"", ""Stewart Heitmann""]",Argtable class,https://github.com/udzura/mruby-argtable,https://github.com/udzura/mruby-argtable.git,"",git
mruby-at_exit,ksss,Kernel.at_exit method,https://github.com/ksss/mruby-at_exit,https://github.com/ksss/mruby-at_exit.git,"",git
mruby-audite,Matthias Georgi,Portable MP3 Player based on libmp123 and portaudio,https://github.com/georgi/mruby-audite,https://github.com/georgi/mruby-audite.git,"",git
mruby-augeas,lutter,Bindings to augeas,https://github.com/hercules-team/mruby-augeas,https://github.com/hercules-team/mruby-augeas,"",git
mruby-avl,randym,Avl Tree implementation,https://github.com/randym/mruby-avl,https://github.com/randym/mruby-avl.git,"",git
mruby-aws-s3,iij,Client library for Amazon's (AWS) S3 REST API,https://github.com/iij/mruby-aws-s3,https://github.com/iij/mruby-aws-s3.git,"",git
mruby-b64,Hendrik Beskow,Base64 for mruby with streaming interface,https://github.com/Asmod4n/mruby-b64,https://github.com/Asmod4n/mruby-b64.git,"",git
mruby-backtrace,crimsonwoods,Display backtrace,https://github.com/crimsonwoods/mruby-backtrace,https://github.com/crimsonwoods/mruby-backtrace.git,"",git
